date,region,lat,lon,temp_c,precip_mm,ndvi
2025-08-25,Amman,31.9539,35.9106,18.333,2.385,0.53
2025-08-26,Amman,31.9539,35.9106,16.773,1.345,0.552
2025-08-27,Amman,31.9539,35.9106,16.054,0.774,0.523
2025-08-28,Amman,31.9539,35.9106,16.9,3.579,0.523
2025-08-29,Amman,31.9539,35.9106,16.37,2.286,0.558
2025-07-01,Zarqa,32.055,36.0899,24.47,3.106,0.485
2025-07-02,Zarqa,32.055,36.0899,27.218,2.183,0.463
2025-07-03,Zarqa,32.055,36.0899,22.69,3.651,0.509
2025-07-04,Zarqa,32.055,36.0899,24.3,1.617,0.526
2025-07-05,Zarqa,32.055,36.0899,22.737,1.105,0.517
2025-07-06,Zarqa,32.055,36.0899,23.634,1.995,0.493
2025-07-07,Zarqa,32.055,36.0899,24.561,3.407,0.486
2025-07-08,Zarqa,32.055,36.0899,24.849,0.0,0.519
2025-07-09,Zarqa,32.055,36.0899,22.448,0.781,0.496
2025-07-10,Zarqa,32.055,36.0899,23.041,2.916,0.468
2025-07-11,Zarqa,32.055,36.0899,23.418,1.516,0.503
2025-07-12,Zarqa,32.055,36.0899,24.706,2.538,0.528
2025-07-13,Zarqa,32.055,36.0899,22.802,1.304,0.511
2025-07-14,Zarqa,32.055,36.0899,23.229,2.177,0.486
2025-07-15,Zarqa,32.055,36.0899,22.833,2.228,0.559
2025-07-16,Zarqa,32.055,36.0899,25.345,1.147,0.516
2025-07-17,Zarqa,32.055,36.0899,20.168,1.409,0.526
2025-07-18,Zarqa,32.055,36.0899,24.006,1.271,0.51
2025-07-19,Zarqa,32.055,36.0899,18.812,1.837,0.498
2025-07-20,Zarqa,32.055,36.0899,21.075,1.123,0.525
2025-07-21,Zarqa,32.055,36.0899,19.069,0.533,0.577
2025-07-22,Zarqa,32.055,36.0899,19.613,0.903,0.569
2025-07-23,Zarqa,32.055,36.0899,25.74,0.828,0.527
2025-07-24,Zarqa,32.055,36.0899,21.735,3.729,0.487
2025-07-25,Zarqa,32.055,36.0899,20.696,2.777,0.526
2025-07-26,Zarqa,32.055,36.0899,20.342,1.866,0.5
2025-07-27,Zarqa,32.055,36.0899,20.393,1.734,0.535
2025-07-28,Zarqa,32.055,36.0899,19.762,2.472,0.544
2025-07-29,Zarqa,32.055,36.0899,20.674,2.352,0.527
2025-07-30,Zarqa,32.055,36.0899,20.289,1.278,0.544
2025-07-31,Zarqa,32.055,36.0899,19.991,4.093,0.542
2025-08-01,Zarqa,32.055,36.0899,20.566,1.237,0.518
2025-08-02,Zarqa,32.055,36.0899,21.626,2.263,0.54
2025-08-03,Zarqa,32.055,36.0899,17.076,2.927,0.534
2025-08-04,Zarqa,32.055,36.0899,17.882,1.528,0.545
2025-08-05,Zarqa,32.055,36.0899,19.483,1.708,0.536
2025-08-06,Zarqa,32.055,36.0899,18.884,2.153,0.564
2025-08-07,Zarqa,32.055,36.0899,15.272,1.763,0.542
2025-08-08,Zarqa,32.055,36.0899,19.428,1.628,0.505
2025-08-09,Zarqa,32.055,36.0899,19.339,3.727,0.489
2025-08-10,Zarqa,32.055,36.0899,20.008,1.671,0.54
2025-08-11,Zarqa,32.055,36.0899,17.0,1.666,0.567
2025-08-12,Zarqa,32.055,36.0899,19.322,3.732,0.545
2025-08-13,Zarqa,32.055,36.0899,18.978,3.744,0.53
2025-08-14,Zarqa,32.055,36.0899,19.434,1.703,0.543
2025-08-15,Zarqa,32.055,36.0899,17.021,2.99,0.505
2025-08-16,Zarqa,32.055,36.0899,19.118,1.809,0.564
2025-08-17,Zarqa,32.055,36.0899,18.95,3.821,0.535
2025-08-18,Zarqa,32.055,36.0899,15.346,1.933,0.516
2025-08-19,Zarqa,32.055,36.0899,16.81,3.511,0.536
2025-08-20,Zarqa,32.055,36.0899,16.425,0.986,0.549
2025-08-21,Zarqa,32.055,36.0899,15.536,1.329,0.551
2025-08-22,Zarqa,32.055,36.0899,18.984,2.609,0.486
2025-08-23,Zarqa,32.055,36.0899,17.6,2.072,0.545
2025-08-24,Zarqa,32.055,36.0899,19.462,0.0,0.545
2025-08-25,Zarqa,32.055,36.0899,17.822,0.418,0.582
2025-08-26,Zarqa,32.055,36.0899,17.387,2.847,0.516
2025-08-27,Zarqa,32.055,36.0899,17.957,3.068,0.529
2025-08-28,Zarqa,32.055,36.0899,16.992,2.27,0.515
2025-08-29,Zarqa,32.055,36.0899,16.326,1.847,0.543
2025-07-01,Irbid,32.556,35.8499,23.498,1.875,0.584
2025-07-02,Irbid,32.556,35.8499,23.799,1.178,0.568
2025-07-03,Irbid,32.556,35.8499,26.008,2.011,0.583
2025-07-04,Irbid,32.556,35.8499,25.855,2.842,0.561
2025-07-05,Irbid,32.556,35.8499,27.889,1.795,0.522
2025-07-06,Irbid,32.556,35.8499,26.633,1.542,0.569
2025-07-07,Irbid,32.556,35.8499,26.019,0.398,0.555
2025-07-08,Irbid,32.556,35.8499,21.481,1.206,0.582
2025-07-09,Irbid,32.556,35.8499,24.499,2.276,0.536
2025-07-10,Irbid,32.556,35.8499,20.077,2.054,0.559
2025-07-11,Irbid,32.556,35.8499,24.061,2.702,0.566
2025-07-12,Irbid,32.556,35.8499,24.343,2.229,0.58
2025-07-13,Irbid,32.556,35.8499,21.976,1.82,0.579
2025-07-14,Irbid,32.556,35.8499,24.096,1.606,0.59
2025-07-15,Irbid,32.556,35.8499,22.298,1.882,0.595
2025-07-16,Irbid,32.556,35.8499,19.54,0.704,0.562
2025-07-17,Irbid,32.556,35.8499,18.863,1.322,0.602
2025-07-18,Irbid,32.556,35.8499,21.77,2.198,0.601
2025-07-19,Irbid,32.556,35.8499,24.024,1.931,0.611
2025-07-20,Irbid,32.556,35.8499,22.007,1.163,0.581
2025-07-21,Irbid,32.556,35.8499,19.485,1.112,0.587
2025-07-22,Irbid,32.556,35.8499,22.749,3.721,0.542
2025-07-23,Irbid,32.556,35.8499,21.972,0.959,0.608
2025-07-24,Irbid,32.556,35.8499,21.026,0.169,0.626
2025-07-25,Irbid,32.556,35.8499,20.157,1.466,0.575
2025-07-26,Irbid,32.556,35.8499,19.925,2.428,0.584
2025-07-27,Irbid,32.556,35.8499,21.243,2.362,0.616
2025-07-28,Irbid,32.556,35.8499,20.081,0.523,0.63
2025-07-29,Irbid,32.556,35.8499,19.944,3.115,0.592
2025-07-30,Irbid,32.556,35.8499,20.092,2.349,0.632
2025-07-31,Irbid,32.556,35.8499,23.253,2.069,0.599
2025-08-01,Irbid,32.556,35.8499,21.602,1.154,0.613
2025-08-02,Irbid,32.556,35.8499,19.801,2.314,0.579
2025-08-03,Irbid,32.556,35.8499,17.308,0.0,0.597
2025-08-04,Irbid,32.556,35.8499,18.86,1.707,0.642
2025-08-05,Irbid,32.556,35.8499,21.063,1.038,0.617
2025-08-06,Irbid,32.556,35.8499,18.652,1.716,0.608
2025-08-07,Irbid,32.556,35.8499,20.051,1.661,0.627
2025-08-08,Irbid,32.556,35.8499,17.271,2.006,0.654
2025-08-09,Irbid,32.556,35.8499,19.182,3.433,0.59
2025-08-10,Irbid,32.556,35.8499,19.584,1.943,0.601
2025-08-11,Irbid,32.556,35.8499,17.41,2.43,0.582
2025-08-12,Irbid,32.556,35.8499,19.447,3.085,0.6
2025-08-13,Irbid,32.556,35.8499,17.89,2.454,0.593
2025-08-14,Irbid,32.556,35.8499,19.596,0.169,0.616
2025-08-15,Irbid,32.556,35.8499,15.081,0.505,0.647
2025-08-16,Irbid,32.556,35.8499,19.287,1.281,0.582
2025-08-17,Irbid,32.556,35.8499,13.376,1.457,0.658
2025-08-18,Irbid,32.556,35.8499,18.357,1.44,0.619
2025-08-19,Irbid,32.556,35.8499,15.246,1.703,0.609
2025-08-20,Irbid,32.556,35.8499,17.344,2.791,0.603
2025-08-21,Irbid,32.556,35.8499,18.364,1.312,0.629
2025-08-22,Irbid,32.556,35.8499,19.695,1.03,0.595
2025-08-23,Irbid,32.556,35.8499,19.147,1.809,0.633
2025-08-24,Irbid,32.556,35.8499,16.374,3.455,0.591
2025-08-25,Irbid,32.556,35.8499,17.323,3.565,0.579
2025-08-26,Irbid,32.556,35.8499,15.423,1.551,0.615
2025-08-27,Irbid,32.556,35.8499,14.388,2.637,0.584
2025-08-28,Irbid,32.556,35.8499,18.362,0.0,0.605
2025-08-29,Irbid,32.556,35.8499,14.018,1.174,0.613
